condition,target_count,tickets_per_target,m2_plus_hits,m2_plus_rate,m3_plus_hits,m3_plus_rate,average_matched_numbers,delta_m2_plus_rate_vs_baseline,selected_portfolio_counts
BASELINE_ONLY,300,2,79,0.2633,11,0.0367,0.7100,0.0000,"{""HORIZON_MINIMAX_2"": 300}"
SET_ONLY_CONTROL,300,2,92,0.3067,8,0.0267,0.7183,0.0433,"{""DEVIATION_2"": 31, ""HORIZON_MINIMAX_2"": 137, ""ZONE_SPLIT_2_OF_3"": 132}"
BASELINE_PLUS_REAL_ORDER,300,2,91,0.3033,9,0.0300,0.7200,0.0400,"{""DEVIATION_2"": 95, ""HORIZON_MINIMAX_2"": 135, ""ZONE_SPLIT_2_OF_3"": 70}"
ORDER_SHUFFLED_PLACEBO,300,2,98,0.3267,12,0.0400,0.7467,0.0633,"{""DEVIATION_2"": 41, ""HORIZON_MINIMAX_2"": 127, ""ZONE_SPLIT_2_OF_3"": 132}"
STALE_ORDER_PLACEBO,300,2,92,0.3067,9,0.0300,0.7267,0.0433,"{""DEVIATION_2"": 77, ""HORIZON_MINIMAX_2"": 109, ""ZONE_SPLIT_2_OF_3"": 114}"
