target_draw,draw_date,history_cutoff,period,era,consensus_ticket,actual_main_numbers,special_number,hits,m1_plus,m2_plus,m3_plus,m4_plus,m5_plus,m6_plus,n_supported_numbers,top1_score,top1_support,top6_mean_support,rank6_score,rank7_score,rank6_minus_rank7_margin,rank6_support,rank7_support,rank6_rank7_tied,top6_family_breadth_mean,top6_distinct_families,score_entropy_norm,support_concentration_hhi,top6_score_mass_fraction,minority_support_mass,strategy_disagreement,family_disagreement,top6_slots_in_43_49,top6_slots_in_1_12,winner_ranks,winner_supports,winner_min_rank,n_winners_rank_7_8,n_winners_rank_7_12,n_winners_rank_21plus,n_winners_zero_support,top6_mean_gap,winners_mean_gap,top1_missed,special_rank,best_single_strategy_hits,n_strategies_m2plus
103000013,2014-02-03,103000012,SEARCH_1117,PRE_2023,2;7;9;13;20;33,1;2;16;17;27;30,48,1,1,0,0,0,0,0,41,0.310606,11,7.8333,0.143939,0.136364,0.007576,9,4,0,4.8333,8,0.880691,0.041622,0.400433,0.344156,0.851798,0.828019,0,3,2;9;13;16;25;47,2;6;3;6;2;0,2,0,1,2,1,39.833,5.667,1,49,3,6
103000014,2014-02-04,103000013,SEARCH_1117,PRE_2023,1;2;9;13;17;20,8;12;19;32;42;46,28,0,0,0,0,0,0,0,39,0.371212,10,8.0,0.166667,0.151515,0.015152,9,4,0,4.6667,7,0.855439,0.04582,0.417749,0.214286,0.848324,0.833298,0,3,8;14;15;22;26;29,2;1;2;4;2;7,8,1,1,3,0,2.5,82.667,1,28,2,5
103000015,2014-02-07,103000014,SEARCH_1117,PRE_2023,2;7;9;13;17;31,5;11;12;21;22;28,25,0,0,0,0,0,0,0,40,0.30303,7,7.1667,0.166667,0.166667,0.0,6,6,1,4.5,7,0.866238,0.042578,0.393939,0.266234,0.860572,0.847966,0,3,20;22;26;27;28;41,1;2;2;3;0;2,20,0,0,5,1,39.833,43.333,1,36,3,1
103000016,2014-02-11,103000015,SEARCH_1117,PRE_2023,1;2;9;15;33;34,6;15;21;22;31;44,41,1,1,0,0,0,0,0,38,0.318182,8,6.6667,0.181818,0.174242,0.007576,7,4,0,4.0,7,0.85017,0.044771,0.391775,0.12987,0.864725,0.851077,0,3,3;7;15;21;23;40,0;7;7;4;4;2,3,1,1,3,1,78.5,41.0,1,48,2,4
103000017,2014-02-14,103000016,SEARCH_1117,PRE_2023,2;9;10;17;33;34,10;19;20;24;33;48,1,2,1,1,0,0,0,0,42,0.287879,8,6.3333,0.143939,0.143939,0.0,4,7,1,3.8333,7,0.8875,0.039252,0.361472,0.253247,0.862892,0.851192,0,3,5;6;7;14;36;49,4;3;7;1;4;0,5,1,1,2,1,80.833,44.667,1,9,2,3
103000018,2014-02-18,103000017,SEARCH_1117,PRE_2023,2;7;9;15;25;34,6;19;20;26;32;47,35,0,0,0,0,0,0,0,39,0.348485,8,6.5,0.166667,0.159091,0.007576,6,7,0,3.6667,6,0.861255,0.043993,0.391775,0.203463,0.862308,0.8512,0,3,8;9;11;18;25;33,5;6;6;1;1;8,8,1,3,2,0,44.833,42.0,1,48,3,5
103000019,2014-02-21,103000018,SEARCH_1117,PRE_2023,2;6;9;18;20;34,11;12;23;28;40;48,9,0,0,0,0,0,0,0,38,0.393939,11,8.8333,0.212121,0.189394,0.022727,6,7,0,5.1667,8,0.818581,0.056062,0.495671,0.214286,0.837595,0.813275,0,3,15;16;20;36;42;45,2;0;3;0;4;2,15,0,0,3,2,44.0,41.167,1,3,1,0
103000020,2014-02-25,103000019,SEARCH_1117,PRE_2023,2;6;9;12;18;20,3;5;9;12;13;46,4,2,1,1,0,0,0,0,38,0.318182,9,7.0,0.189394,0.166667,0.022727,9,8,0,4.3333,8,0.857361,0.044012,0.402597,0.183983,0.869905,0.849356,0,4,2;3;13;18;28;40,2;0;8;6;3;3,2,0,0,2,1,6.667,6.167,1,15,2,4
103000021,2014-02-28,103000020,SEARCH_1117,PRE_2023,2;5;6;9;18;34,13;17;18;24;28;32,37,1,1,0,0,0,0,0,42,0.325758,10,7.6667,0.166667,0.151515,0.015152,7,4,0,4.5,8,0.853926,0.048284,0.454545,0.261905,0.867011,0.846499,0,4,5;24;32;36;41;45,2;1;6;2;0;1,5,0,0,5,1,44.167,6.333,1,27,2,1
103000022,2014-03-04,103000021,SEARCH_1117,PRE_2023,2;9;13;17;25;34,8;26;35;37;40;43,6,0,0,0,0,0,0,0,41,0.287879,8,7.1667,0.174242,0.159091,0.015152,4,4,0,4.1667,8,0.874858,0.04106,0.38961,0.190476,0.877684,0.862299,0,2,19;21;24;40;45;48,2;0;2;0;1;3,19,0,0,5,2,44.333,10.333,1,25,2,2
